,YKR_ID,zipcode
138,5804704,01760
139,5804705,01760
140,5804706,01760
141,5804707,01760
142,5806593,99999
143,5806594,99999
144,5806595,99999
145,5806596,99999
146,5806597,01760
147,5806598,01760
148,5806599,01760
149,5806600,01760
150,5806601,01760
151,5806602,01760
152,5806603,01760
153,5806604,01760
154,5806605,01760
155,5806606,01760
156,5806607,01760
157,5806608,01760
158,5806609,01760
159,5806610,01760
160,5806611,01760
161,5806612,01760
162,5806613,99999
163,5808496,99999
164,5808497,99999
165,5808498,99999
166,5808499,99999
167,5808500,01750
168,5808501,01760
169,5808502,01760
170,5808503,01760
171,5808504,01760
172,5808505,01760
173,5808506,01760
174,5808507,01760
175,5808508,01760
176,5808509,01760
177,5808510,01760
178,5808511,01760
179,5808512,01760
180,5808513,01760
181,5808514,01760
182,5808515,01760
183,5808516,01760
184,5808517,01760
185,5808518,99999
186,5810399,99999
187,5810400,99999
188,5810401,99999
189,5810402,01750
190,5810403,01750
191,5810404,01750
192,5810405,01750
193,5810406,01760
194,5810407,01760
195,5810408,01760
196,5810409,01760
197,5810410,01760
198,5810411,01760
199,5810412,01760
200,5810413,01760
201,5810414,01760
202,5810415,01760
203,5810416,01760
204,5810417,01760
205,5810418,01760
206,5810419,01760
207,5810420,01760
208,5810421,01760
209,5810422,01760
210,5810423,01760
211,5810457,01450
212,5810458,01450
213,5810462,01450
214,5810463,99999
215,5810464,99999
216,5812300,99999
217,5812301,99999
218,5812302,99999
219,5812303,99999
220,5812304,01750
221,5812305,01750
222,5812306,01750
223,5812307,01750
224,5812308,01750
225,5812309,01760
226,5812310,01760
227,5812311,01760
228,5812312,01760
229,5812313,01760
230,5812314,01760
231,5812315,01760
232,5812316,01760
233,5812317,01760
234,5812318,01760
235,5812319,01760
236,5812320,01760
237,5812321,01760
238,5812322,01760
239,5812323,01760
240,5812324,01760
241,5812325,01760
242,5812353,99999
243,5812354,99999
244,5812355,99999
245,5812356,99999
246,5812358,01450
247,5812359,01450
248,5812360,01450
249,5812361,01450
250,5812362,01450
251,5812363,01450
252,5812364,01450
253,5812365,99999
254,5812366,99999
255,5814173,02980
256,5814174,99999
257,5814175,99999
258,5814176,99999
259,5814201,99999
260,5814202,01750
261,5814203,01750
262,5814204,01750
263,5814205,01750
264,5814206,01750
265,5814207,01750
266,5814208,01750
267,5814209,01750
268,5814210,01750
269,5814211,01760
270,5814212,01760
271,5814213,01760
272,5814214,01760
273,5814215,01760
274,5814216,01760
275,5814217,01760
276,5814218,01760
277,5814219,01760
278,5814220,01760
279,5814221,01760
280,5814222,01760
281,5814223,01760
282,5814224,01760
283,5814225,01760
284,5814226,01760
285,5814227,01760
286,5814253,99999
287,5814254,01450
288,5814255,01450
289,5814256,01450
290,5814257,99999
291,5814258,99999
292,5814259,01450
293,5814260,01450
294,5814261,01450
295,5814262,01450
296,5814263,01450
297,5814264,01450
298,5814265,01450
299,5814266,01450
300,5814267,01450
301,5814268,99999
302,5816065,02980
303,5816068,02980
304,5816069,02980
305,5816070,02980
306,5816071,02980
307,5816072,02980
308,5816073,02970
309,5816074,02970
310,5816075,02970
311,5816099,01750
312,5816100,01750
313,5816101,01750
314,5816102,01750
315,5816103,01750
316,5816104,01750
317,5816105,01750
318,5816106,01750
319,5816107,01750
320,5816108,01750
321,5816109,01750
322,5816110,01760
323,5816111,01760
324,5816112,01760
325,5816113,01760
326,5816114,01760
327,5816115,01760
328,5816116,01760
329,5816117,01760
330,5816118,01760
331,5816119,01760
332,5816120,01760
333,5816121,01760
334,5816122,01760
335,5816123,01760
336,5816124,01760
337,5816125,01760
338,5816126,01760
339,5816127,01760
340,5816152,99999
341,5816153,01450
342,5816154,01450
343,5816155,01450
344,5816156,01450
